"common_attribute_label","common_attribute_value"
"Job Title","title"
"Company Name","name"
"Location","joblocation"
"Job URL","sameAs"
"Job Description","description"
"Job Type","employmentType"
"Salary","basesalary"
"Experience Required","experienceRequirements"
"Job Level","job_level"
"Date Posted","datePosted"
"Application Deadline","validThrough"
"Work Environment","responsibilities"
"Skills or Requirements","skills"
"Industry","industry"
"Benefits","jobBenefits"
"Contact Information","contact_info"
